name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
boyd1,93279,93279,1211231,12.98503414,3,93261,653.397365,0.0001392064039,3.22e-05,0.9998070305,0.007004763827,32,16,32,0.123771,6.024878,48.6776
web-BerkStan,685230,685230,7600595,11.09203479,0,249,16.35603227,1.62e-05,0.0,0.0003633816383,2.39e-05,32,32,64,0.665129,6.78489,10.2009
rajat14,180,180,1503,8.35,1,163,15.31719259,0.04638888889,0.005555555556,0.9055555556,0.0850955144,32,4,2,0.005632,0.013998,2.48544
graham1,9035,9035,335504,37.13381295,1,406,22.23617562,0.004109995899,0.0001106806862,0.04493635861,0.002461115177,32,1,16,0.0265421,0.046121,1.73765
cbuckle,13681,13681,676515,49.44923617,26,600,7.834218033,0.003614446032,0.001900445874,0.04385644324,0.0005726348975,32,4,8,0.0458854,0.07169,1.56237
iris_dataset_30NN,150,150,5518,36.78666667,30,59,6.863999482,0.2452444444,0.2,0.3933333333,0.04575999655,32,2,2,0.00570368,0.00852,1.49377
spaceStation_3,467,467,5103,10.92719486,1,61,5.685837363,0.0233987042,0.002141327623,0.130620985,0.01217524061,32,2,2,0.00608256,0.008909,1.46468
ex25,848,848,24612,29.02358491,6,62,14.52460211,0.0342259256,0.007075471698,0.07311320755,0.01712806852,32,4,8,0.00687104,0.009892,1.43967
spaceStation_2,329,329,5817,17.68085106,1,43,8.398054732,0.05374118864,0.003039513678,0.1306990881,0.02552600223,32,1,4,0.00589824,0.007619,1.29174
goodwin,7320,7320,324784,44.36939891,1,112,26.56463698,0.006061393293,0.0001366120219,0.01530054645,0.003629048768,32,2,16,0.0239821,0.030003,1.25106
str_600,363,363,3279,9.033057851,1,33,8.4376833,0.02488445689,0.002754820937,0.09090909091,0.02324430661,32,1,2,0.0057344,0.007158,1.24826
netscience,1589,1589,5484,3.451227187,0,34,3.469318012,0.002171949142,0.0,0.0213971051,0.00218333418,32,1,2,0.00644096,0.007813,1.21302
mesh3em5,289,289,1889,6.53633218,4,9,0.9072344991,0.02261706637,0.01384083045,0.03114186851,0.00313921972,32,1,4,0.00524288,0.006339,1.20907
1138_bus,1138,1138,4054,3.562390158,2,18,1.802183381,0.00313039557,0.001757469244,0.0158172232,0.001583640932,32,1,2,0.0056832,0.006789,1.19457
spaceStation_1,99,99,927,9.363636364,1,17,5.1275736,0.09458218549,0.0101010101,0.1717171717,0.05179367272,32,8,1,0.00556032,0.006564,1.18051
impcol_b,59,59,312,5.288135593,2,7,1.595022421,0.08962941683,0.03389830508,0.1186440678,0.02703427832,32,4,1,0.00543744,0.0064,1.17702
plbuckle,1282,1282,30644,23.90327613,8,44,4.584448228,0.01864530119,0.00624024961,0.03432137285,0.003576012658,32,1,8,0.00723968,0.008458,1.16828
mesh3e1,289,289,1889,6.53633218,4,9,0.9072344991,0.02261706637,0.01384083045,0.03114186851,0.00313921972,64,1,2,0.0055808,0.006441,1.15414
Plants_10NN,1600,1600,21930,13.70625,10,36,3.659400352,0.00856640625,0.00625,0.0225,0.00228712522,32,1,8,0.00699392,0.008008,1.14499
cz2548,2548,2548,25674,10.07613815,1,27,7.156997794,0.003954528315,0.0003924646782,0.01059654631,0.002808868836,32,2,8,0.00741376,0.008387,1.13127
d_dyn1,87,87,238,2.735632184,1,8,1.198272417,0.03144404809,0.01149425287,0.09195402299,0.01377324617,32,8,1,0.00530432,0.00599,1.12927
odepa400,400,400,1201,3.0025,2,5,0.1117754445,0.00750625,0.005,0.0125,0.0002794386113,32,1,2,0.00553984,0.006246,1.12747
b1_ss,7,7,15,2.142857143,2,3,0.3499271061,0.306122449,0.2857142857,0.4285714286,0.04998958659,128,1,2,0.0050688,0.005704,1.12532
M20PI_n,1182,1182,2881,2.437394247,1,12,0.6535515198,0.002062093272,0.0008460236887,0.01015228426,0.0005529200675,32,2,1,0.00601088,0.006707,1.11581
cage3,5,5,19,3.8,3,5,0.7483314774,0.76,0.6,1.0,0.1496662955,32,1,4,0.00482304,0.005366,1.11258
uni_chimera_i5,100000,100000,499982,4.99982,3,33,2.460951029,5e-05,3e-05,0.00033,2.46e-05,32,1,16,0.0923341,0.10197,1.10436
impcol_a,207,207,572,2.763285024,1,8,1.667247676,0.01334920302,0.004830917874,0.038647343,0.008054336598,32,8,1,0.00541696,0.00597,1.10209
