feat_in,feat_out,fpath,m,n,nnz,dur_torchsparse,dur_sparsetir
32,32,/home/peng599/layers/08.pth,42166,68931,68931,0.07734,0.04777564
32,32,/home/peng599/layers/03.pth,68931,94625,94625,0.09852,0.0632238
64,64,/home/peng599/layers/13.pth,21525,42166,42166,0.08853,0.06637531
128,128,/home/peng599/layers/18.pth,9522,21525,21525,0.09371,0.09059262
32,32,/home/peng599/layers/02.pth,94625,94625,286263,0.27152,0.15115256
32,32,/home/peng599/layers/04.pth,68931,68931,309177,0.26846,0.1543063
32,32,/home/peng599/layers/07.pth,68931,68931,309177,0.26737,0.15435981000000001
32,32,/home/peng599/layers/05.pth,68931,68931,309177,0.26783999999999997,0.15435996999999999
32,32,/home/peng599/layers/06.pth,68931,68931,309177,0.2683,0.1543634
128,96,/home/peng599/layers/33.pth,68931,42166,68931,0.17037,0.2218252
32,64,/home/peng599/layers/09.pth,42166,42166,267754,0.36290999999999995,0.25301626
96,96,/home/peng599/layers/38.pth,94625,68931,94625,0.20532,0.27197691
256,256,/home/peng599/layers/23.pth,21525,9522,21525,0.15133,0.30513309
256,128,/home/peng599/layers/28.pth,42166,21525,42166,0.17957,0.31417715
64,64,/home/peng599/layers/10.pth,42166,42166,267754,0.46214,0.33132114999999995
64,64,/home/peng599/layers/11.pth,42166,42166,267754,0.46348,0.33137707000000005
64,64,/home/peng599/layers/12.pth,42166,42166,267754,0.462,0.33143611999999995
64,128,/home/peng599/layers/14.pth,21525,21525,166517,0.45426,0.35629097
128,256,/home/peng599/layers/19.pth,9522,9522,82740,0.48528,0.49658774
128,128,/home/peng599/layers/15.pth,21525,21525,166517,0.5855400000000001,0.53011111
128,128,/home/peng599/layers/17.pth,21525,21525,166517,0.58901,0.53013367
128,128,/home/peng599/layers/16.pth,21525,21525,166517,0.58545,0.58677537
96,96,/home/peng599/layers/41.pth,94625,94625,286263,0.6819700000000001,0.73495729
96,96,/home/peng599/layers/40.pth,94625,94625,286263,0.67999,0.7349937699999999
96,96,/home/peng599/layers/42.pth,94625,94625,286263,0.68313,0.73525807
96,96,/home/peng599/layers/35.pth,68931,68931,309177,0.76947,0.7709179199999999
96,96,/home/peng599/layers/37.pth,68931,68931,309177,0.76897,0.7709420900000001
96,96,/home/peng599/layers/36.pth,68931,68931,309177,0.76886,0.7710250200000001
128,96,/home/peng599/layers/39.pth,94625,94625,286263,0.77941,0.8089579600000001
128,96,/home/peng599/layers/34.pth,68931,68931,309177,0.87495,0.85207217
128,128,/home/peng599/layers/31.pth,42166,42166,267754,0.87098,0.9292668799999999
128,128,/home/peng599/layers/32.pth,42166,42166,267754,0.8757699999999999,0.9302210100000001
256,256,/home/peng599/layers/20.pth,9522,9522,82740,0.6624,0.94863443
256,256,/home/peng599/layers/21.pth,9522,9522,82740,0.6656,0.9486938899999999
256,256,/home/peng599/layers/22.pth,9522,9522,82740,0.66294,0.9496657799999999
128,128,/home/peng599/layers/30.pth,42166,42166,267754,0.9776600000000001,0.99456751
192,128,/home/peng599/layers/29.pth,42166,42166,267754,1.05849,1.32859416
256,256,/home/peng599/layers/25.pth,21525,21525,166517,1.23295,2.0700670500000005
256,256,/home/peng599/layers/27.pth,21525,21525,166517,1.23364,2.07026235
256,256,/home/peng599/layers/26.pth,21525,21525,166517,1.2368000000000001,2.07041932
384,256,/home/peng599/layers/24.pth,21525,21525,166517,1.61227,2.9021361600000004
